date,text
2011-01-11,ipt offers bq9000 certification on all biodiesel facilitiessipchem awards epc contract for its ethyl acetate plantkentz helping get qatar’s pearl gtl plant in shapekbr starts up advanced catalytic olefin demonstration unit
2011-01-12,petrochina and ineos european partnership blessed by high ranking government officials petrobras signs contract for new units at refap
2011-01-13,marathon splitting in twoenergy stocks outperformed market indices in 2010snclavalin acquires columbian engineering firm
2011-01-14,burckhardt compression extends range of gas compressor product linesamsung engineering breaks into the us plant market field device application designed to simplify instrumentation management
2011-01-17,bayer technology services expanding activities in russialanxess invests €40 million in krefelduerdingen siteindianoil signs off on lanzatech ethanol demooiltanking commissions additional storage capacity in china
2011-01-18,deloitte expands energy analytics capabilities hyperion to supply simulator for ethylene plant in india
2011-01-19,hudongzhonghua building lng carriersallianz global corporate specialty launches new websitenpra praises president obama’s action on regulations
2011-01-20,an efficient source of terahertz radiation is developedelliott group wins dual compressor contracts for ruwais refinerylummus technology has heater contract in russia
2011-01-21,sasol and linde conclude longterm agreement for engineering servicestechnip awarded a refining contract in bulgariaoneok partners invests in additional natural gas processing plant in north dakotanpra says epa decision on e15 could hurt consumers
2011-01-24,endicott biofuels building secondgeneration biorefinery in texaschevron and kyushu electric sign lng dealenerkem gets loan guarantee for mississippi wastetofuel biorefinery
2011-01-25,new line of highspeed aeration blowerslummus technology involved in chinese phenol plant designfieldbus foundation welcomes latest eddl enhancements
2011-01-26,statoil believes natural gas is key to europe’s energy future hovensa closing units and reducing crude distillation capacitymajor gas processing news out of saudi arabiarubber technology licensed in east asia
2011-01-27,no direct benefit from use of alternative fuels by us militaryapi says decision on keystone pipeline project essential to jobshovensa to pay 53 million penalty for clean air act violations
2011-01-28,citgo starts up corpus christi ulsd unitbp says emerging economies will lead energy growth to 2030 mass spectrometer systems producer expanding presence in germany as well as worldwide
2011-01-31,chevron building lubricants facility in mississippisunoco to move forward with separation of suncoke following settlement holly reports on power failure at navajo refinery
2011-02-01,cameron’s enhanced nozzle check valvebp wants to sell two us refineriestechnip awarded engineering contract for a flng in malaysia
2011-02-02,louisiana gas processing facility expanding to the tune of 150 millionspecialty plastics unit to be built in abu dhabi jacobs acquires most of aker solutions construction businessa nanotechnology partnership is good news for japanese spectrometer users
2011-02-03,new valve automation center in aberdeenburckhardt delivering compressor to saudi ldpeeva plantaddressing wasteheatrecovery in alberta
2011-02-04,jacobs feeding lube oil expansion project in saudi arabiapipeline safety legislation introduced in us senatedow chemical closing two vcm plants
2011-02-07,merger in the process analyzer business segmentecs implementation makes a difference at beaumont plantnew licensing agreement makes a wastewater splash
2011-02-08,breaking news major fire at enterprise products plant in mont belvieuemerson opens flow calibration and service center for middle east and africahoneywell forms new advanced solutions business
2011-02-09,update on major fire at enterprise products plant in mont belvieusuccessful startup of hainan island methanol plant chinapolicy recommendations issued for future us transportation needs and projects
2011-02-10,siemens and saudi aramco sign strategic procurement agreementkbr awarded feed and pms contracts for jazan refinery brenntag opens chemical distribution facility in indonesia
2011-02-11,mubarak exits stage rightformer us house speaker proposes eliminating epaus demand for activated carbon to grow over 15
2011-02-14,association says cfats should be made permanentshaw pegged for ethylene plant expansioncelanese expands eva capacity
2011-02-15,kbr and valero startup benzene reduction projectscatalyst recycling comes to oklahomasiemens to build a manufacturing facility in saudi arabia
2011-02-16,total safety acquires pacific environmental consultingethanol companies join rfa to form advocacy councilus refining margins improve but some refineries remain at risk
2011-02-17,lupotech t process selected for 300 kt ldpe plant in mexiconew technology for removal of carbon dioxide from natural gasbp proceeding with pta debottlenecking in guangdong
2011-02-18,shell receives offer for stanlow refinery in the uktotal sells stake in spanish company to abu dhabi entityatlas inspection technologies expands across us15 groups seek to bar epa funding for e15
2011-02-21,88 billion for fgd systems market in 2011wood group gts signs a multiyear service contract for gas turbinesshell vitol and helios reach agreement on african downstream businesses classification guidelines for lng carriers and fpus
2011-02-22,holly and frontier merge to create hollyfrontierus senator urges iocs to cease libyan operationscontract issued for saudi polyamide 66 plant
2011-02-23,study confirms viability of jatropha plant oil for power generationsaudi aramco awards epm contracts to consortiumsmole master launches abrasive blasting service for bins and silos
2011-02-24,capstone turbine receives order for 24 c65s to be used at eagle fordepa establishes clean air act standards for boilers and incinerators markwest energy partners expanding arapaho processing complex
2011-02-25,oil futures drop on feb 24 leaving behind a 28month highresearchers find enzyme cocktail to improve biofuel processing
2011-02-28,rina coordinates eu information highway developmentmitsubishi and korea gas to collaborate on natural gas projectsneste oil and adnoc partner in vhvi base oils
2011-03-01,human factors research identifies early warning signals to anticipate failures of workplacesunoco completes sale of toledo refinery
2011-03-02,7 out of 10 german customers fill up wrongpreem to begin sales of oil renewable diesel blend in sweden in aprilcbi has feed contract for sohar refinery in omanfoster wheeler studying zadco in the uaechs investing 26 million in refined fuels infrastructure
2011-03-03,china orders three new liquefied natural gas projects using black veatchpatented technology association says proposed changes to us ozone standard will harm job growth
2011-03-04,surveying customer satisfaction among european polypropylene buyersneste oil to increase its use of waste in renewable diesel production
2011-03-07,kbr awarded feed for kitimat lng developmentenergy management toolkit available soonfoster wheeler and consortium partners sign ges contract with saudi aramcobp speaks up at ceraweek
2011-03-08,ceraweek 2011 begins in houston today
2011-03-09,ihs ceraworld economic forum report natural gas enters a new era of abundanceoffshore logjam breaking as oil field services sector rebounded in 2010
2011-03-10,eni unveils strategic plankior signs offtake agreement with hunt refining for renewableswsj reporting valero to buy uk refinery from chevronbasf reaches climate protection goal
2011-03-11,foster wheeler aiding with design of waste plastics to liquid fuels plant in irelandmonster quake wreaks havoc on japan’s refining industryoil sands quite an opportunity for canada and the usvalero confirms purchase of chevrons pembroke refinery and other assets
2011-03-14,japans refining industry partially closedrefinery margins may increase on heels of disastercanadian oil association supports oil sands monitoring scott health safety is now scott safety
2011-03-15,update on dire refining situation in japanagreement signed to study six city industrialization strategy in saudi arabiaberkshire hathaway to acquire lubrizoljacobs receives contract from jubail chemical industrial co in saudi arabia
2011-03-16,valero plans to expand crude unit capacity at mckee refinery china approves kuwaiti oil refinery joint projectglobal climate deal needed to go beyond previously agreed industrial emissions thresholdshaw issues statement on events in japan
2011-03-17,bayer materialscience to invest €100 million in germanyhaldor topsøes contract with petróleos de venezuela saholly refining cited for osha violations
2011-03-18,china remains one of the largest plc markets with sustainable growthair products meets increased hydrogen needs at marathon’s garyville refinerynuclear disaster will shift 200 billion investment to fossil and renewablesupdate on lignol and novozymes cellulosic ethanol project
2011-03-21,porocel and inprocat join together foster wheeler adds sulfur recovery to its portfolioge introduces new desalter emulsion breaker chemistry
2011-03-22,colonial announces pipeline expansionstesoro announces north dakota expansion graham receives orders for refining and renewables markets
2011-03-23,merichem to install system for treating haynesville shale play gasexxonmobil opens shiogama terminal in area affected by earthquake tsunami petroalgae partners with haldor topsoe for renewable fuels based on biomassfirst gas flows from offshore into the pearl gtl plant in qatar
2011-03-24,aker solutions building a technology experience center in oslo alfa laval wins sek 75 million refinery order in saudi arabiasiemens to deliver compression solutions for gas gathering in australiaoriginoil announces innovation to increase algae yield
2011-03-25,astm international offers training course on diesel fuelsbasf chongqing mdi project approvedsibur and lukoil sign agreement for the supply of associated petroleum gas titan metal fabricators adds new facilities in india
2011-03-28,uhde to supply turnkey skidmounted chloralkali electrolysis plant to leunaharzealternative energy research park to be built in coloradoexxonmobil increases fuel supply to tohoku region of japan foster wheeler sending a steam reformer to bashkortostan
2011-03-29,chevron phillips chemical considers a us gulf coast ethane cracker nova chemicals goes to williams for its ethylene needsshell sells stanlow refinery to essar oil ukejpc signs agreement with davy process technology
2011-03-30,enterprise expanding ngl export facility at houston ship channeldow developing new polymeric flame retardant technology purvin gertz releases global petroleum market outlook
2011-03-31,obama administration issues statement on us energy securitynew reports predict us auto industry boosting profits with higher mileage standardsflint hills pine bend refinery receives wastewater treatment awardtotal safety acquires webb murray associatesmustang alhejailan engineering combines with dar ec and piconsult
2011-04-01,shell sells most of chilean downstream businesses to quiñencoexxonmobil chemical opens technology center in chinadow introducing specialty amine blend for treating natural gaschina energy invests 838 million in synthesis energy systems
2011-04-04,evonik starts up new isobutene plant in antwerppetroplus converting reichstett refinery to terminalemerson acquires fisher sanmar jvsmall scale chemistry could improve biodegradable polymers
2011-04-05,honeywell extends global simulation contract with shellsolvay and rhodia are joining togethershaw and axens will license “next gen” fcc technologyurs to provide services to bp’s whiting refinery
2011-04-06,puma energy buying exxonmobils downstream businesses in six central american marketsexcelerate energy performs 100th shiptoship transfer of lngge doubles capacity of water technology manufacturing facility in chinacsb continues investigation into tesoro’s anacortes refinery accident
2011-04-07,invensys and acm partner up topsøe process to be used at two chinese sng plantsmarubeni buys 270 million shale stake from marathonepa moves to electronic reporting of new chemical notices
2011-04-08,exim bank gives initial approval for 28 billion in financing for colombian refineryus house passes bill preventing epa regulation of ghgs senate rejected similar bill the day before basf foam insulating lng pipes in koreamerichem installing h2s treatment system at new grassroots dri facility
2011-04-11,shell joins wheatstone project as a gas supplier and equity participantpoll shows 90 of americans believe refining and petrochem manufacturing are important
2011-04-12,eagle ford crude on the express to corpusfrench saudi companies form jv to offer natural gas treatment servicesaxens partners with invensys operations management on chemical process simulatorcapstone turbine corp secures two new orders from large us energy firmflint hills resources gives 65000 to conservation group for minnesota waterfowl habitat
2011-04-13,global materials firm styron to change name to trinseo in 2011china awards deal for second coaltosng plant to haldor topsøecbi wins contract for propane dehydrogenation unit polypropylene plant in kazakhstanus seeks higher ethanol fuel consumption aims for 10000 new flexfuel pumpsaustralian renewable fuels finalizes acquisition of domestic firm biodiesel producersjohn zink coen affiliates agree to buy hamworthy combustion
2011-04-14,kobelco opens new compressor plant in californiatechnip awarded project management contract for china chemical plantkbr inks engineering contract with saudi aramcoreliance starts capacity expansion work for india polyester projectsstrong global petrochemical margins in early 2011 defy rapidly rising crude prices studysolutia to supply heat transfer fluids for worlds largest solar generation plantstatoil awards contract to foster wheeler for snøhvit development project in norwayipic proceeds with plan for 3bn uae refinery gives engineering deal to shaw
2011-04-15,koch pipeline wins api’s top safety environmental award for 2010urs acquires civil engineering firm bp barberphoenix contact adds two new silrated relays designed for process safety
2011-04-18,marathon oil subsidiary speedway named top us retail gasoline brand for third yearmomentive to sell north america composites coatings business to european investment groupkbr names executives in hydrocarbons oil gas operations businessesus epa proposes new emissions cuts for domestic pvc plants
2011-04-19,china’s sinopec to cut fuel exports lower chemical plant operating ratesgulf chemical obtains environmental management certification at plant in freeport texasair products inks deal to supply lng technology for indonesia projectarcs upcoming china forum to focus on it automation solutions
2011-04-20,total adds to solar portfolio with expanded tenesol acquisitionshell to close australia refinery amid high competition will convert site to fuel import terminalnustar energy buys south texas refinery terminal from age for 41 mntechnip awarded epc contract for petrobras refinery in brazilbiofuels may comprise 27 of global transportation fuel supply by 2050 – iea reportemerson opens new engineering and development center in chinachem safety board faces ‘significant challenges’ in us deepwater horizon investigationjacobs completes acquisition of aker solutions onshore pc operations in china
2011-04-21,us amines demand to grow at 33 per year reach 34 billion in 2015 studydow chemical to raise us ethylene propylene production inks shale gas supply dealsfluor office in houston sets milestone with 100 mn safe hoursshaw group awarded feed contract for uae liquid storage tanksuk engineering group severn glocon wins queen’s award for enterprisebp commits up to 1 billion for restoration projects in gulf spill areas
2011-04-22,survey shows majority of offshore workers proud of industry would recommend to friendon earth day acc says us chemical firms lead sustainability environmental effortsexxonmobil us operations win top 2010 safety award from gas processors association
2011-04-25,technip awarded design contract for canada oil sands projectjapan disaster environmental concerns to boost coalbased power plans reportmcdermott wins gulf of mexico deepwater project work from chevronqatargas inks lng supply deal with uk’s centrica
2011-04-26,holly corp shuts down crude unit at tulsa refineryclariant closes on acquisition of german catalysts company südchemiebasf signs deal to acquire water treatment firm inge watertechnologiesnew crude oil pipeline to be constructed from oklahoma storage hub to houstoncbi awarded over 45mn to build storage tanks for canadian oil sands projectbp gulf alliance seek deepwater horizon study proposals for 500mn research program
2011-04-27,bp plans 388mn cleaner diesel project at cherry point refinery in washingtonsabic asahi and mitsubishi ink jv for middle east acrylonitrile sodium cyanide projectsbp dow chemical plants in texas city lose power as regional outages continuemarathon oil nexen sign deal to jointly explore poland shale playrising us retail gasoline costs have yet to significantly dampen demand reportsafety milestone reached by altairstrickland during bp texas city turnaround workcyanco to build new sodium cyanide plant at ascend site in texaschevron awards 65mn contract to kbr for base oil expansion at mississippi refinery
2011-04-28,methanex starts up production in egypt canadagazprom japan consortium to evaluate building new lng plant in russia dresserrand unveils latest module for realtime gas turbine performance monitoringair products wins railroad safety award for chemshigher oil prices to limit demand growth economic recovery – ernst youngvalero jv selects dresserrand to supply rotating equipment on renewable diesel project
2011-04-29,mexico needs new oil investment to avoid becoming net importer by 2020 studyrecord us natural gas demand in 2010 boosts growth outlook instituteeia releases annual us energy outlook sees strong growth in shale productionalbemarle touts new technology to extract lithium from brine cites growing global marketenbridge plans 175mn expansion of texas shale transportation infrastructure
2011-05-02,reduced us eia budget prompts energy data cutsfoster wheeler promotes nield to vice president of project risk management groupcapstone turbine receives order for 22 more c65s for eagle ford shale usetechnip awarded €100mn epc contract for canada oil sands projectsiemens wins supply contracts for topside solutions on fpso project in brazillyondellbasell likely to raise us ethylene capacity may build new cracker ceonova inks ethane supply deal from marcellus shale
2011-05-03,linde to build large hydrogen plant with china jvppg closes on 27mn deal for us chloralkali producer equachlorenterprise to extend texas crude oil pipeline from eagle ford shalebayer invests 120mn in environmental safety upgrades at texas chemical siteconstruction markets show promise poised for secondhalf recovery – foster wheeler
2011-05-04,chevron to buy new us acreage in marcellus shaleshell starts up new production from canada oil sands expansiontechnip awarded engineering contract for australia gas complexnew study shows why us should resist higher energy taxes apisaudi aramco chooses snclavalin jv for fiveyear engineering project management dealrotating equipment firm dresserrand closes on €500mn deal for spanish engine supplier
2011-05-05,total completes deep conversion at port arthur refinery new units onstreamkinder morgan buys 920mn in us shale assets will build 220mn crudecondensate pipelinenew ngl fractionation facility to be built in mont belvieu texasel paso corp to expand natural gas systemppg to acquire danish coatings firm dyrup
2011-05-06,global pvc growth to continue but new china capacity will limit op rates reportontario government chooses rentech renewable jet fuel project for biomass supplyconsultancy kbc predicts global refining margins under pressure through 2015india plans to raise capacity at bina refinery to 9mn tonsyear reportsihs acquires chemical consultancy cmaifluor reports record backlog of orders sees new q1 projects nearly double from 2010
2011-05-09,api praises us house bill to restart us offshore leasing calls for more domestic productionbp adds rosneft as partner in german refining jvbpdavy select epc firms cbi jacobs and shaw for fischer tropsch deploymentnuevo midstream to restart texas natural gas processing plantenterprise to expand propylene fractionation capacity in mont belvieu texaslinn energy inks 220mn deal for oil natural gas assets in texas oklahomatechnip awarded €55mn contract from statoil for norway subsea projectengineering group howden acquires dutch firm thomassen compression systems
2011-05-10,statoil withdraws from ownership in swiss gastoliquids licensing venturechevron inks australia lng supply deal with japan refiner jx nipponexxonmobil begins drilling construction on texas oil recovery projectlower mississippi river refineries chemical plants prepare for possible flood disruptionsshell opens first us pipelinefed hydrogen fueling station for fuelcell vehiclesoman awards contract to chevron lummus for sohar refinery expansionbill introduced in us senate that would repeal tax breaks for major oil firms
2011-05-11,albemarle acquires biodiesel catalyst firm catilinfoster wheeler wins design epc contract for thailand refinery upgradelinde partners with sapphire on co2 algaetofuel project in usconoco ceo to speak at us senate hearing says higher oil taxes would discourage investmentsouthern union bg seek us approval to export lng from louisiana terminaldupont to expand titanium dioxide capacity by 2014 cites rising demandineos jv awards ultrafiltration supply contract for wastetofuel facility in florida
2011-05-12,majority of energy execs see crude exceeding 120bbl in 2011 surveymg to build new pet pta plants on us gulf coasthoneywell triples capacity of blowing agent for polystyrene board notes growing demandbarge firm kirby warns of increasing flooding along mississippi as industry worries continuestatoil awards technip with engineering contract for brazil offshore worknpra blasts us bill to repeal oil tax breaks as energy execs testify to senate
2011-05-13,malaysia’s petronas to build 20 billion integrated refinery petrochemical complexiea lowers estimate for 2011 oil demand growthus ethanol groups praise new legislation seeking to promote industry versus imported oiltechnip wins epc deal for canada subsea projecttotal joins exxonmobil to explore poland shale gasexxonmobil shuts parts of two louisiana crude pipelines amid flooding concerns
2011-05-15,kinka kikai valves certified as low emission
2011-05-16,siemens completes worlds largest lng train raises qatar output to 77mn tonnesyearexxonmobil sabic award contracts for elastomers project at saudi petchem jv shell inks lng supply deal with taiwan’s cpcfoster wheeler wins engineering design deal for star petroleum refinery revamp in thailandorascom jv acquires idled ammoniamethanol plant in texas production to restartsasol selects sb as epc contractor for us ethylene tetramerization plantrefineries remain operational along mississippi after opening of morganza spillway
2011-05-17,plains to build 300000 bpd pipeline from eagle ford shale to corpus christius refiner sunoco acquires controlling interest in ohio refined products pipelinesabic sinopec to construct 260000 tonneyear polycarbonate plant in china by 2015saudi aramco awards jacobs with aromatics project work at ras tanura refineryeni starts slurry technology project at italy refinerymargins surge for us inland refiners as cushing crude bottleneck leads to wti discount study epa delays implementation of new us industrial boiler regulations
2011-05-18,honeywell to buy us phenolacetone plant from sunoco for 85mnbasf awards technip with umbrella contract for chemical project workshaw renews contract with albemarle for engineering work at us specialty chemical sitescbi wins 50mn canadian oil sands projectbp conoco discontinue 35 billion alaska gas pipeline projectmotiva picks kbr to build coker for refinery expansion in port arthur texas
2011-05-19,global chemical ma activity jumps sharply in q1dresserrand says new centrifugal compressor represents major advance in technologyiea warns that high oil prices are hurting economy seeks additional supply for refinersfuel prices unlikely to deter memorial day travel – us auto groupus predicts active 2011 hurricane season may threaten gulf refiners petchemsus senate blocks two oil bills as democrats gop clash over gas prices
2011-05-20,us petroleum demand rises in april as distillate gains offset lower gasoline use apishell approves floating lng project in australiaus chemical production increased in april across all regions accemployees for engineering services firm mistras set safety milestone at shell us refineryflood disrupts operations at dresserrand plant in wellsville new york
2011-05-23,dow generates energy from recycled plastic in ushoneywell green jet fuel used in us air force aircraft demonstrationspecialty chemical firm chemtura to establish bromine jv with india’s archean groupnpra urges approval of keystone xl pipeline as house committee holds hearing on issueus can curb carbon emissions while boosting oil production university studychina’s sinopec kuwait petroleum to begin building 9 billion refining complex in q1 2012
2011-05-24,jacobs wins global services deal from petroleum additives firm infineumsweden group picks engineering firm jacobs for biomass gasification methanation projectalgaetooil group receives order for australia power station projectmustang awarded design contract from hess for north dakota natural gas expansionoil refiner holly joins endicotts us biodiesel project
2011-05-25,baker hughes selected by terra to manage russia oil and gas assetshuntsman licenses pomtbe technology to china’s yantai wanhua polyurethanesshipper commitments sought for proposed cushingtohouston crude oil pipelinedow to power truck fleet with lithiumion batterieshoneywell to begin work on new transportation fuels refinery in iraqoil industry job site notes massive yearly decline from libya amid civil unrest
2011-05-26,basf to build 300000 tonneyr tdi plant in europeaker solutions wins offshore loading systems contracts in brazil cbi awarded 150mn engineering deal for uk golden eagle offshore platformsair products inks deals with valero denbury for carbon capture project in texasbiofuels growth to be led by algae consultants
2011-05-27,age of pipeline systems unrelated to spill risk – new european studynew us bill seeks longer biofuels contractsdow praises obama for regulatory reform progresschem safety board to investigate third accident at metal powder plant in tennessee
2011-05-30,offshore advances make gulf drilling safe apidow applauds house republicans for jobs agenda
